"N_cells"	"ID"	"ParentID"	"Birth_time"	"type"	"mut_den"	"driver_genes"	"passenger_genes"	"PointMut_ID"	"CNA_ID"	"order"
2	222	2	31	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 187"	"0"	"KRAS"
4	226	2	32	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 193"	"0"	"KRAS"
2	237	2	33	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 197"	"0"	"KRAS -> APC"
4	242	2	33	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1"	"143"	"KRAS"
6	246	2	33	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"146"	"KRAS -> APC"
14	250	13	33	"metastatic"	0.5	"0 1 0 1"	"1 0 0 0"	"1, 215"	"8"	"KRAS -> PIK3CA"
2	253	2	34	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"149"	"KRAS -> APC"
11	259	2	34	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 219"	"0"	"KRAS -> PIK3CA"
1	266	2	35	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"158"	"KRAS"
1	273	2	35	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 229"	"0"	"KRAS"
4	280	2	36	"primary"	0.25	"0 1 0 0"	"0 0 1 0"	"1"	"165"	"KRAS"
3	282	2	36	"primary"	0.25	"0 1 0 0"	"0 1 0 0"	"1, 241"	"0"	"KRAS"
2	286	2	36	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"168"	"KRAS"
2	287	2	36	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"169"	"KRAS -> APC"
2	289	2	36	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"171"	"KRAS -> APC"
5	292	2	36	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 247"	"0"	"KRAS -> PIK3CA"
3	297	2	37	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 253"	"0"	"KRAS -> APC"
1	298	2	37	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 255"	"0"	"KRAS"
3	299	2	37	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"175"	"KRAS -> PIK3CA"
2	301	2	37	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 259"	"0"	"KRAS -> APC"
2	302	2	37	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"176"	"KRAS"
2	306	2	37	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"180"	"KRAS -> APC"
1	310	2	37	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1"	"183"	"KRAS"
1	314	2	38	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 265"	"0"	"KRAS"
2	315	2	38	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"186"	"KRAS -> APC"
2	319	2	38	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"189"	"KRAS -> APC"
2	324	2	38	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 269"	"0"	"KRAS"
1	326	2	38	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 273"	"0"	"KRAS"
2	329	2	38	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"194"	"KRAS -> APC"
1	330	2	38	"primary"	0.25	"0 1 0 0"	"0 0 1 0"	"1, 279"	"0"	"KRAS"
2	331	2	38	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"195"	"KRAS -> APC"
2	332	2	38	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"196"	"KRAS -> PIK3CA"
1	333	2	38	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1"	"197"	"KRAS"
1	335	2	38	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"198"	"KRAS -> PIK3CA"
1	336	2	38	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1, 283"	"0"	"KRAS -> KRAS"
2	338	13	38	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 287"	"8"	"KRAS -> PIK3CA -> PIK3CA"
1	339	128	38	"primary"	0.5	"1 1 0 0"	"1 0 0 0"	"1, 45"	"78, 199"	"KRAS -> APC -> APC"
1	340	2	39	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1, 289"	"0"	"KRAS"
1	341	2	39	"primary"	0.25	"0 1 0 0"	"0 0 0 0"	"1"	"200"	"KRAS -> KRAS"
1	342	2	39	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 291"	"0"	"KRAS -> APC"
1	343	2	39	"primary"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"201"	"KRAS -> PIK3CA"
1	344	2	39	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 293"	"0"	"KRAS -> APC"
1	345	2	39	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"202"	"KRAS -> APC"
1	346	2	39	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"203"	"KRAS"
1	347	2	39	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1"	"204"	"KRAS -> APC"
1	348	2	39	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 295"	"0"	"KRAS -> APC"
1	349	2	39	"primary"	0.25	"0 1 0 0"	"0 0 0 1"	"1, 297"	"0"	"KRAS"
1	350	2	39	"primary"	0.5	"0 1 0 1"	"0 0 0 0"	"1"	"205"	"KRAS -> PIK3CA"
1	351	2	39	"primary"	0.5	"1 1 0 0"	"0 0 0 0"	"1, 299"	"0"	"KRAS -> APC"
1	352	2	39	"primary"	0.25	"0 1 0 0"	"1 0 0 0"	"1"	"206"	"KRAS"
1	353	13	39	"metastatic"	0.5	"0 1 0 1"	"0 0 0 0"	"1, 301"	"8"	"KRAS -> PIK3CA -> PIK3CA"
1	354	46	39	"metastatic"	0.75	"1 1 0 1"	"0 0 0 0"	"1, 37"	"207"	"KRAS -> PIK3CA -> APC"
